agency,agency_name
DOT,Department of Transportation
NYPD,New York City Police Department
TLC,Taxi and Limousine Commission
DOHMH,Department of Health and Mental Hygiene
DPR,Department of Parks and Recreation
DSNY,Department of Sanitation
OOS,Office of the Sheriff
DCWP,Department of Consumer and Worker Protection
DHS,Department of Homeless Services
HPD,Department of Housing Preservation and Development
DEP,Department of Environmental Protection
EDC,Economic Development Corporation
DOB,Department of Buildings
OTI,Office of Technology and Innovation
